,Accident Type,Speed,Simple Injuries,Severe Injuries,Death,Road Lanes,Road Surfuce Description,Driver Licnesee Type,Light,Weather,City,Number of Cars,Driver Age,Driver Sex,Car,Year,Month
14247,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3 auto,day,clear,Toronto,2.0,27.0,Male,Vehicle,2018,6
14248,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,21.0,Male,Vehicle,2018,6
14249,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 1,sunset,clear,Toronto,2.0,0.0,Unkown,Vehicle,2018,6
14250,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,sunset,clear,Toronto,2.0,26.0,Male,Vehicle,2018,6
14251,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Kanata,2.0,25.0,Male,Vehicle,2018,6
14252,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Kanata,2.0,31.0,Male,Vehicle,2018,6
14253,Collision,40.0,0.0,0.0,0.0,One way,dry,Class 4,sunset,clear,Toronto,2.0,33.0,Male,Trailer,2018,6
14254,Collision,40.0,0.0,0.0,0.0,One way,dry,Class 3,sunset,clear,Toronto,2.0,61.0,Male,Vehicle,2018,6
14255,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,30.0,Male,Vehicle,2018,6
14256,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,66.0,Male,Vehicle,2018,6
14257,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3 auto,dark night,clear,Toronto,2.0,23.0,Male,Vehicle,2018,6
14258,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3 auto,dark night,clear,Toronto,2.0,0.0,Female,Vehicle,2018,6
14259,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,35.0,Female,Vehicle,2018,6
14260,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,30.0,Male,Vehicle,2018,6
14261,Collision,60.0,3.0,0.0,0.0,Two ways with island,dry,Class 4,lighty night,clear,Toronto,3.0,29.0,Male,Vehicle,2018,6
14262,Collision,60.0,3.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,3.0,30.0,Male,Vehicle,2018,6
14263,Collision,60.0,3.0,0.0,0.0,Two ways with island,dry,Class 3 auto,lighty night,clear,Toronto,3.0,44.0,Female,Vehicle,2018,6
14264,Collision,40.0,0.0,0.0,0.0,Parking lot,dry,Class 3 auto,sunset,clear,Toronto,1.0,0.0,Unkown,Vehicle,2018,6
14265,Collision,30.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,3.0,28.0,Male,Vehicle,2018,6
14266,Collision,30.0,0.0,0.0,0.0,Two ways,dry,Class 3 auto,day,clear,Toronto,3.0,24.0,Female,Vehicle,2018,6
14267,Collision,30.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,3.0,34.0,Female,Vehicle,2018,6
14268,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 4,lighty night,clear,Toronto,2.0,43.0,Male,Vehicle,2018,6
14269,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,118.0,Unkown,Vehicle,2018,6
14270,Type-A,80.0,0.0,0.0,0.0,Two ways,dry,Class 4,day,clear,Ottawa,1.0,23.0,Male,Vehicle,2018,6
14271,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,38.0,Male,Vehicle,2018,6
14272,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,48.0,Male,Vehicle,2018,6
14273,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Uknown driver,lighty night,clear,Toronto,2.0,27.0,Male,Vehicle,2018,6
14274,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,54.0,Male,Vehicle,2018,6
14275,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,dark night,clear,Toronto,2.0,38.0,Male,Vehicle,2018,6
14276,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,dark night,clear,Toronto,2.0,29.0,Male,Vehicle,2018,6
14277,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 5,lighty night,clear,Quebec City,2.0,48.0,Male,Trailer,2018,6
14278,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Quebec City,2.0,67.0,Male,Vehicle,2018,6
14279,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,23.0,Male,Vehicle,2018,6
14280,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,0.0,Unkown,Vehicle,2018,6
14281,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3 auto,lighty night,clear,Toronto,3.0,118.0,Female,Vehicle,2018,6
14282,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,3.0,32.0,Male,Vehicle,2018,6
14283,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 4,lighty night,clear,Montreal,2.0,46.0,Male,Vehicle,2018,6
14284,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 6b,lighty night,clear,Montreal,2.0,41.0,Male,Van,2018,6
14285,Collision,40.0,0.0,0.0,0.0,One way,dry,Class 3,lighty night,clear,Toronto,2.0,31.0,Female,Vehicle,2018,6
14286,Collision,40.0,0.0,0.0,0.0,One way,dry,Class 3,lighty night,clear,Toronto,2.0,48.0,Male,Vehicle,2018,6
14287,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,2.0,118.0,Unkown,Vehicle,2018,6
14288,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,2.0,67.0,Male,Vehicle,2018,6
14289,Collision,30.0,0.0,0.0,0.0,Two ways,dry,Class 3 auto,day,clear,Toronto,2.0,22.0,Female,Vehicle,2018,6
14290,Collision,30.0,0.0,0.0,0.0,Two ways,dry,Class 4,day,clear,Toronto,2.0,23.0,Male,Vehicle,2018,6
14291,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 5,lighty night,clear,Ottawa,2.0,47.0,Male,Vehicle,2018,6
14292,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 4,lighty night,clear,Ottawa,2.0,32.0,Male,Trailer,2018,6
14293,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Montreal,2.0,33.0,Male,Bus,2018,6
14294,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Uknown driver,lighty night,clear,Montreal,2.0,118.0,Male,Vehicle,2018,6
14295,Collision,40.0,0.0,0.0,0.0,One way,dry,Class 3,lighty night,clear,Toronto,2.0,29.0,Male,Vehicle,2018,6
14296,Collision,40.0,0.0,0.0,0.0,One way,dry,Class 3 auto,lighty night,clear,Toronto,2.0,0.0,Unkown,Vehicle,2018,6
14297,Trample,60.0,1.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,1.0,46.0,Male,Vehicle,2018,6
14298,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,sunset,clear,Toronto,2.0,24.0,Male,Vehicle,2018,6
14299,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,sunset,clear,Toronto,2.0,62.0,Male,Vehicle,2018,6
14300,Collision,70.0,0.0,0.0,0.0,Two ways with island,dry,Class 3 auto,lighty night,clear,kingeston,2.0,24.0,Male,Vehicle,2018,6
14301,Collision,70.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,kingeston,2.0,25.0,Male,Vehicle,2018,6
14302,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3 auto,dark night,clear,Toronto,3.0,22.0,Male,Vehicle,2018,6
14303,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,dark night,clear,Toronto,3.0,25.0,Male,Vehicle,2018,6
14304,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,dark night,clear,Toronto,3.0,27.0,Male,Vehicle,2018,6
14305,Collision,30.0,0.0,0.0,0.0,Two ways,dry,Class 4,lighty night,clear,Toronto,2.0,49.0,Male,Vehicle,2018,6
14306,Collision,30.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,32.0,Male,Vehicle,2018,6
14307,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,30.0,Male,Vehicle,2018,6
14308,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,40.0,Male,Vehicle,2018,6
14309,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,69.0,Male,Vehicle,2018,6
14310,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,118.0,Unkown,Vehicle,2018,6
14311,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 1,day,clear,Toronto,2.0,23.0,Male,Truck,2018,6
14312,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,0.0,Male,Vehicle,2018,6
14313,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 4,lighty night,clear,Toronto,2.0,44.0,Male,Vehicle,2018,6
14314,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,36.0,Male,Vehicle,2018,6
14315,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 5,lighty night,clear,Toronto,3.0,46.0,Male,Truck,2018,6
14316,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,3.0,59.0,Male,Vehicle,2018,6
14317,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,3.0,33.0,Male,Vehicle,2018,6
14318,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,42.0,Male,Vehicle,2018,6
14319,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,28.0,Male,Trailer,2018,6
14320,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 4,lighty night,clear,Toronto,2.0,31.0,Male,Vehicle,2018,6
14321,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 5,lighty night,clear,Toronto,2.0,61.0,Male,Vehicle,2018,6
14322,Collision,50.0,0.0,0.0,0.0,Public Parks,dry,Class 1,lighty night,clear,Toronto,2.0,0.0,Unkown,Vehicle,2018,6
14323,Collision,50.0,0.0,0.0,0.0,Public Parks,dry,Class 3,lighty night,clear,Toronto,2.0,0.0,Unkown,Truck,2018,6
14324,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Kanata,3.0,62.0,Male,Trailer,2018,6
14325,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Kanata,3.0,39.0,Male,Vehicle,2018,6
14326,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Kanata,3.0,26.0,Male,Vehicle,2018,6
14327,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Ottawa,2.0,0.0,Unkown,Vehicle,2018,6
14328,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Ottawa,2.0,39.0,Male,Vehicle,2018,6
14329,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,dark night,clear,Montreal,2.0,36.0,Male,Vehicle,2018,6
14330,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,dark night,clear,Montreal,2.0,39.0,Male,Vehicle,2018,6
14331,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3 auto,lighty night,clear,Toronto,2.0,19.0,Unkown,Vehicle,2018,6
14332,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,28.0,Female,Vehicle,2018,6
14333,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 4,day,clear,Kanata,2.0,25.0,Male,Vehicle,2018,6
14334,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Kanata,2.0,27.0,Male,Truck,2018,6
14335,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 4,day,clear,Toronto,2.0,40.0,Male,Vehicle,2018,6
14336,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,40.0,Female,Vehicle,2018,6
14337,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,dark night,clear,Barrhaven,3.0,118.0,Unkown,Truck,2018,6
